,Computer,Block,Day,Trial,Plates,location,animal,start,end,lardist,stdate,sttime
142,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,240,300,96.8,21/06/2016,14:07:27
143,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,240,300,488.6,21/06/2016,14:07:27
144,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,240,300,191,21/06/2016,14:07:27
145,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,240,300,269,21/06/2016,14:07:27
146,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,240,300,245.8,21/06/2016,14:07:27
147,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,240,300,463.8,21/06/2016,14:07:27
148,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,240,300,216.4,21/06/2016,14:07:27
149,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,240,300,265.5,21/06/2016,14:07:27
150,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,240,300,196.2,21/06/2016,14:07:27
151,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,240,300,67.1,21/06/2016,14:07:27
152,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,240,300,108.8,21/06/2016,14:07:27
153,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,240,300,182.7,21/06/2016,14:07:27
154,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,240,300,141.6,21/06/2016,14:07:27
155,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,240,300,410.8,21/06/2016,14:07:27
156,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,240,300,303.6,21/06/2016,14:07:27
157,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,240,300,276.6,21/06/2016,14:07:27
158,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,240,300,362.6,21/06/2016,14:07:27
159,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,240,300,282.6,21/06/2016,14:07:27
160,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,300,360,36.6,21/06/2016,14:08:27
161,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,300,360,258.1,21/06/2016,14:08:27
162,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,300,360,495.5,21/06/2016,14:08:27
163,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,300,360,336.5,21/06/2016,14:08:27
164,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,300,360,234.4,21/06/2016,14:08:27
165,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,300,360,203.7,21/06/2016,14:08:27
166,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,300,360,299.4,21/06/2016,14:08:27
167,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,300,360,110.7,21/06/2016,14:08:27
168,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,300,360,387.6,21/06/2016,14:08:27
169,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,300,360,186.7,21/06/2016,14:08:27
170,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,300,360,208.2,21/06/2016,14:08:27
171,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,300,360,248.4,21/06/2016,14:08:27
172,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,300,360,37.8,21/06/2016,14:08:27
173,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,300,360,104.5,21/06/2016,14:08:27
174,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,300,360,174.4,21/06/2016,14:08:27
175,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,300,360,716.2,21/06/2016,14:08:27
176,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,300,360,229.9,21/06/2016,14:08:27
177,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,300,360,392.3,21/06/2016,14:08:27
178,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,300,360,259.6,21/06/2016,14:08:27
179,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,300,360,505.9,21/06/2016,14:08:27
180,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,300,360,238.9,21/06/2016,14:08:27
181,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,300,360,264.8,21/06/2016,14:08:27
182,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,300,360,166.7,21/06/2016,14:08:27
183,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,300,360,220.4,21/06/2016,14:08:27
184,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,300,360,100.4,21/06/2016,14:08:27
185,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,300,360,174.6,21/06/2016,14:08:27
186,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,300,360,175.3,21/06/2016,14:08:27
187,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,300,360,266.3,21/06/2016,14:08:27
188,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,300,360,412.1,21/06/2016,14:08:27
189,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,300,360,282.5,21/06/2016,14:08:27
190,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,300,360,350,21/06/2016,14:08:27
191,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,300,360,277,21/06/2016,14:08:27
192,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,360,420,37.5,21/06/2016,14:09:27
193,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,360,420,237.2,21/06/2016,14:09:27
194,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,360,420,454.8,21/06/2016,14:09:27
195,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,360,420,304.9,21/06/2016,14:09:27
196,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,360,420,183.1,21/06/2016,14:09:27
197,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,360,420,344.6,21/06/2016,14:09:27
198,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,360,420,321.5,21/06/2016,14:09:27
199,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,360,420,11.5,21/06/2016,14:09:27
200,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,360,420,277.1,21/06/2016,14:09:27
201,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,360,420,231.7,21/06/2016,14:09:27
202,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,360,420,248.3,21/06/2016,14:09:27
203,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,360,420,276.4,21/06/2016,14:09:27
204,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,360,420,92.5,21/06/2016,14:09:27
205,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,360,420,94.1,21/06/2016,14:09:27
206,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,360,420,159.5,21/06/2016,14:09:27
207,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,360,420,827.5,21/06/2016,14:09:27
208,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,360,420,188.1,21/06/2016,14:09:27
209,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,360,420,393.6,21/06/2016,14:09:27
210,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,360,420,246.6,21/06/2016,14:09:27
211,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,360,420,462.4,21/06/2016,14:09:27
212,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,360,420,238.2,21/06/2016,14:09:27
213,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,360,420,238.2,21/06/2016,14:09:27
214,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,360,420,236.5,21/06/2016,14:09:27
215,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,360,420,215.5,21/06/2016,14:09:27
